program_code,region,model_line,my,term_months,model_code,model_description,lease_cash,mf_tier_1,mf_tier_2,mf_tier_3,mf_tier_4,mf_tier_5,mf_tier_6,mf_tier_7,mf_tier_8,residual_pct
H202,MS,IONIQ 5,2026,39,51462REZ,IONIQ 5 Limited RWD,5750,0.00227,0.00227,0.00281,0.00295,0.00315,0.00328,0.00337,0.00354,0.57
H202,MS,IONIQ 5,2026,39,514C2AEZ,IONIQ 5 XRT AWD w/ Tow Hitch,0,0.00034,0.00034,0.00052,0.00066,0.00086,0.00099,0.00108,0.00354,0.59
H202,MS,IONIQ 5,2026,48,51402REZ,IONIQ 5 SE RWD Standard Range,3250,0.00263,0.00263,0.00283,0.003,0.00325,0.00338,0.0035,0.00413,0.53
H202,MS,IONIQ 5,2026,48,51412AEZ,IONIQ 5 SE AWD,3250,0.00245,0.00245,0.00265,0.00282,0.00307,0.0032,0.00332,0.00413,0.56
H202,MS,IONIQ 5,2026,48,51412REZ,IONIQ 5 SE RWD,3250,0.00269,0.00269,0.00289,0.00306,0.00331,0.00344,0.00356,0.00413,0.57
H202,MS,IONIQ 5,2026,48,51442AEZ,IONIQ 5 SEL AWD,3250,0.00244,0.00244,0.00264,0.00281,0.00306,0.00319,0.00331,0.00413,0.56
H202,MS,IONIQ 5,2026,48,51442REZ,IONIQ 5 SEL RWD,4000,0.00272,0.00272,0.00326,0.00343,0.00368,0.00381,0.00393,0.00413,0.55
H202,MS,IONIQ 5,2026,48,51452AEZ,IONIQ 5 XRT AWD,4000,0.00269,0.00269,0.00289,0.00306,0.00331,0.00344,0.00356,0.00413,0.57
H202,MS,IONIQ 5,2026,48,51462AEZ,IONIQ 5 Limited AWD,4750,0.00272,0.00272,0.00326,0.00343,0.00368,0.00381,0.00393,0.00413,0.56
H202,MS,IONIQ 5,2026,48,51462REZ,IONIQ 5 Limited RWD,3250,0.00264,0.00264,0.00284,0.00301,0.00326,0.00339,0.00351,0.00413,0.58
H202,MS,IONIQ 5,2026,48,514C2AEZ,IONIQ 5 XRT AWD w/ Tow Hitch,3750,0.00266,0.00266,0.00286,0.00303,0.00328,0.00341,0.00353,0.00413,0.57
H202,MS,IONIQ 5,2025,24,50402REZ,4dr Wgn SE (Standard Range),12500,0.00026,0.00026,0.0004,0.00054,0.00066,0.00083,0.0011,0.00362,0.51
H202,MS,IONIQ 5,2025,24,50412AEZ,4dr Wgn SE,12500,0.00103,0.00103,0.00117,0.00131,0.00143,0.0016,0.00187,0.00362,0.58
H202,MS,IONIQ 5,2025,24,50412REZ,4dr Wgn SE,12500,0.00035,0.00035,0.00049,0.00063,0.00075,0.00092,0.00119,0.00362,0.55
H202,MS,IONIQ 5,2025,24,50442AEZ,4dr Wgn SEL,12500,0.00077,0.00077,0.00091,0.00105,0.00117,0.00134,0.00161,0.00362,0.58
H202,MS,IONIQ 5,2025,24,50442REZ,4dr Wgn SEL,12500,0.00136,0.00136,0.0015,0.00164,0.00176,0.00193,0.0022,0.00362,0.59
H202,MS,IONIQ 5,2025,24,50452AEZ,4dr Wgn XRT,12500,0.00148,0.00148,0.00162,0.00176,0.00188,0.00205,0.00232,0.00362,0.61
H202,MS,IONIQ 5,2025,24,50462AEZ,4dr Wgn Limited,12500,0.00041,0.00041,0.00055,0.00069,0.00081,0.00098,0.00125,0.00362,0.58
H202,MS,IONIQ 5,2025,24,50462REZ,4dr Wgn Limited,12500,0.00072,0.00072,0.00086,0.001,0.00112,0.00129,0.00156,0.00362,0.58
H202,MS,IONIQ 5,2025,24,504C2AEZ,4dr Wgn XRT w/ Tow Hitch,12500,0.00119,0.00119,0.00133,0.00147,0.00159,0.00176,0.00203,0.00362,0.6
H202,MS,IONIQ 5,2025,24,51402REZ,4dr Wgn SE (Standard Range),12500,0.00026,0.00026,0.0004,0.00054,0.00066,0.00083,0.0011,0.00362,0.51
H202,MS,IONIQ 5,2025,24,51412AEZ,4dr Wgn SE,12500,0.00103,0.00103,0.00117,0.00131,0.00143,0.0016,0.00187,0.00362,0.58
H202,MS,IONIQ 5,2025,24,51412REZ,4dr Wgn SE,12500,0.00035,0.00035,0.00049,0.00063,0.00075,0.00092,0.00119,0.00362,0.55
H202,MS,IONIQ 5,2025,24,51442AEZ,4dr Wgn SEL,12500,0.00077,0.00077,0.00091,0.00105,0.00117,0.00134,0.00161,0.00362,0.58
H202,MS,IONIQ 5,2025,24,51442REZ,4dr Wgn SEL,12500,0.00136,0.00136,0.0015,0.00164,0.00176,0.00193,0.0022,0.00362,0.59
H202,MS,IONIQ 5,2025,24,51452AEZ,4dr Wgn XRT,12500,0.00148,0.00148,0.00162,0.00176,0.00188,0.00205,0.00232,0.00362,0.61
H202,MS,IONIQ 5,2025,24,51462AEZ,4dr Wgn Limited,12500,0.00041,0.00041,0.00055,0.00069,0.00081,0.00098,0.00125,0.00362,0.58
H202,MS,IONIQ 5,2025,24,51462REZ,4dr Wgn Limited,12500,0.00072,0.00072,0.00086,0.001,0.00112,0.00129,0.00156,0.00362,0.58
H202,MS,IONIQ 5,2025,24,514C2AEZ,4dr Wgn XRT w/ Tow Hitch,12500,0.00119,0.00119,0.00133,0.00147,0.00159,0.00176,0.00203,0.00362,0.6
H202,MS,IONIQ 5,2025,36,50402REZ,4dr Wgn SE (Standard Range),15750,0.00233,0.00233,0.00251,0.00265,0.00285,0.00298,0.00307,0.00354,0.44
H202,MS,IONIQ 5,2025,36,50412AEZ,4dr Wgn SE,16500,0.00217,0.00217,0.00235,0.00249,0.00269,0.00282,0.00291,0.00354,0.48
H202,MS,IONIQ 5,2025,36,50412REZ,4dr Wgn SE,15750,0.00223,0.00223,0.00241,0.00255,0.00275,0.00288,0.00297,0.00354,0.49
H202,MS,IONIQ 5,2025,36,50442AEZ,4dr Wgn SEL,15500,0.00215,0.00215,0.00233,0.00247,0.00267,0.0028,0.00289,0.00354,0.51
H202,MS,IONIQ 5,2025,36,50442REZ,4dr Wgn SEL,17000,0.00244,0.00244,0.00262,0.00276,0.00296,0.00309,0.00318,0.00354,0.48
H202,MS,IONIQ 5,2025,36,50452AEZ,4dr Wgn XRT,17000,0.00244,0.00244,0.00262,0.00276,0.00296,0.00309,0.00318,0.00354,0.5
H202,MS,IONIQ 5,2025,36,50462AEZ,4dr Wgn Limited,17750,0.00242,0.00242,0.0026,0.00274,0.00294,0.00307,0.00316,0.00354,0.49
H202,MS,IONIQ 5,2025,36,50462REZ,4dr Wgn Limited,16000,0.00237,0.00237,0.00255,0.00269,0.00289,0.00302,0.00311,0.00354,0.51
H202,MS,IONIQ 5,2025,36,504C2AEZ,4dr Wgn XRT w/ Tow Hitch,16000,0.00245,0.00245,0.00263,0.00277,0.00297,0.0031,0.00319,0.00354,0.52
H202,MS,IONIQ 5,2025,36,51402REZ,4dr Wgn SE (Standard Range),15750,0.00233,0.00233,0.00251,0.00265,0.00285,0.00298,0.00307,0.00354,0.44
H202,MS,IONIQ 5,2025,36,51412AEZ,4dr Wgn SE,16500,0.00217,0.00217,0.00235,0.00249,0.00269,0.00282,0.00291,0.00354,0.48
H202,MS,IONIQ 5,2025,36,51412REZ,4dr Wgn SE,15750,0.00223,0.00223,0.00241,0.00255,0.00275,0.00288,0.00297,0.00354,0.49
H202,MS,IONIQ 5,2025,36,51442AEZ,4dr Wgn SEL,15500,0.00215,0.00215,0.00233,0.00247,0.00267,0.0028,0.00289,0.00354,0.51
H202,MS,IONIQ 5,2025,36,51442REZ,4dr Wgn SEL,17000,0.00244,0.00244,0.00262,0.00276,0.00296,0.00309,0.00318,0.00354,0.48
H202,MS,IONIQ 5,2025,36,51452AEZ,4dr Wgn XRT,17000,0.00244,0.00244,0.00262,0.00276,0.00296,0.00309,0.00318,0.00354,0.5
H202,MS,IONIQ 5,2025,36,51462AEZ,4dr Wgn Limited,17750,0.00242,0.00242,0.0026,0.00274,0.00294,0.00307,0.00316,0.00354,0.49
H202,MS,IONIQ 5,2025,36,51462REZ,4dr Wgn Limited,16000,0.00237,0.00237,0.00255,0.00269,0.00289,0.00302,0.00311,0.00354,0.51
H202,MS,IONIQ 5,2025,36,514C2AEZ,4dr Wgn XRT w/ Tow Hitch,16000,0.00245,0.00245,0.00263,0.00277,0.00297,0.0031,0.00319,0.00354,0.52
H202,MS,IONIQ 5,2025,39,50402REZ,4dr Wgn SE (Standard Range),14000,0.00214,0.00214,0.00232,0.00246,0.00266,0.00279,0.00288,0.00354,0.41
H202,MS,IONIQ 5,2025,39,50412AEZ,4dr Wgn SE,14750,0.00223,0.00223,0.00241,0.00255,0.00275,0.00288,0.00297,0.00354,0.47
H202,MS,IONIQ 5,2025,39,50412REZ,4dr Wgn SE,14750,0.00218,0.00218,0.00236,0.0025,0.0027,0.00283,0.00292,0.00354,0.45
H202,MS,IONIQ 5,2025,39,50442AEZ,4dr Wgn SEL,15500,0.00223,0.00223,0.00241,0.00255,0.00275,0.00288,0.00297,0.00354,0.47
H202,MS,IONIQ 5,2025,39,50442REZ,4dr Wgn SEL,15500,0.00238,0.00238,0.00256,0.0027,0.0029,0.00303,0.00312,0.00354,0.46
H202,MS,IONIQ 5,2025,39,50452AEZ,4dr Wgn XRT,15250,0.00216,0.00216,0.00234,0.00248,0.00268,0.00281,0.0029,0.00354,0.48
H202,MS,IONIQ 5,2025,39,50462AEZ,4dr Wgn Limited,16500,0.00224,0.00224,0.00242,0.00256,0.00276,0.00289,0.00298,0.00354,0.47
